business_name,address,phone,email,website,total_reviews,replied_count,reply_rate,star_rating
Pellegrino 2000,"80 Campbell St, Surry Hills NSW 2010",(02) 8593 0114,reservations@pellegrino2000.com,https://pellegrino2000.com/,1085,0,0%,4.5
6HEAD Sydney,"Bay 10 & 11, Campbell’s Stores, 7-27 Circular Quay W, The Rocks NSW 2000",(02) 8629 8866,info@6head.com.au,https://6head.com.au/sydney-restaurant/,3299,2,10%,4.6
Bistro Papillon,"98 Clarence St, Sydney NSW 2000",(02) 9262 2402,bonjour@bistropapillon.com.au,https://www.bistropapillon.com.au/,988,0,0%,4.6
Ragazzi,"Shop 3/2-12 Angel Pl, Sydney NSW 2000",(02) 8964 3062,ciao@ragazziwineandpasta.com,http://www.ragazziwinepasta.com/,2146,0,0%,4.4
Ester Restaurant,"46-52 Meagher St, Chippendale NSW 2008",(02) 8068 8279,esterrestaurant@gmail.com,http://www.ester-restaurant.com.au/,1619,0,0%,4.6
LuMi Dining,"56 Pirrama Rd, Pyrmont NSW 2009",(02) 9571 1999,info@lumidining.com,http://www.lumidining.com/,1158,4,20%,4.5
Sails on Lavender Bay,"2 Henry Lawson Ave, McMahons Point NSW 2060",(02) 9955 5998,reservations@sailslavenderbay.com.au,https://srghospitality.com.au/venue/sails/,1341,0,0%,4.4
Abb Air Thai - World Square,"World Square Shopping Centre, 9.60/40 Goulburn St, Sydney NSW 2000",(02) 8068 2564,hello@abbair.com.au,https://abbair.com.au/,3984,0,0%,4.6
Porkfat Thai Restaurant Sydney,"33 Ultimo Rd, Haymarket NSW 2000",0478 565 691,hello@porkfat.com.au,http://www.porkfat.com.au/,918,0,0%,4.6
Bennelong,"Sydney Opera House, Bennelong Point, Sydney NSW 2000",(02) 9240 8000,events@finkgroup.com.au,http://www.bennelong.com.au/,2146,0,0%,4.5
Café Tanja,"638 Crown St, Surry Hills NSW 2010",0411 524 844,,https://www.instagram.com/cafetanjasurryhills,427,0,0%,4.9
Bambini Trust Restaurant & Wine Room,"St. James Trust Building, 185 Elizabeth St, Sydney NSW 2000",(02) 9283 7098,info@bambinitrust.com.au,http://www.bambinitrust.com.au/,843,0,0%,4.5
Medan Ciak SUSSEX ST SYDNEY Indonesian Restaurant,"10/339 Sussex St, Sydney NSW 2000",0401 663 326,shared@0.22.0-staging.fb,https://www.medanciak.com.au/,2330,0,0%,4.5
The Sambal,"shop a/432 Kent St, Sydney NSW 2000",0423 636 793,hello@rfuenzalida.com,http://www.thesambalonkent.com.au/,1146,4,20%,4.5
Grape Garden Restaurant 葡萄園,"Shop 3, 2/14 Bayswater Rd, Potts Point NSW 2011",0416 767 933,,https://grapegardenbeijingcuisine.com/,256,0,0%,4.6
Kazan Japanese Dining,"Shop 8.01/25 Martin Pl, Sydney NSW 2000",(02) 8080 8074,,http://kazandining.au/?utm_source=gmb,638,0,0%,4.7
Bornga Korean BBQ Restaurant,"Level 1/78 Harbour St, Haymarket NSW 2000",0417 054 555,,https://www.instagram.com/bornga_aus/?hl=en,3750,2,10%,4.7
Bentley Restaurant + Bar,"27 O'Connell St, Sydney NSW 2000",(02) 8214 0505,functions@thebentley.com.au,https://www.bentleyrestaurantgroup.com.au/bentley-restaurant-bar,911,0,0%,4.4
The Spice Room,"The Quay Building, 2 Phillip St, Sydney NSW 2000",(02) 9251 9990,info@thespiceroom.com.au,https://thespiceroom.com.au/,3766,8,40%,4.5
Porcine,"268 Oxford St, Paddington NSW 2021",0423 015 032,bonjour@porcine.com.au,http://www.porcine.com.au/,234,0,0%,4.7
Rockpool Bar & Grill Sydney,"66 Hunter St, Sydney NSW 2000",(02) 8099 7077,reservations@rockpoolbarandgrill.com.au,https://rockpoolbarandgrill.com.au/rockpool-sydney/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=sydney,3250,0,0%,4.4
Felix Bistro & Brasserie,"2 Ash St, Sydney NSW 2000",(02) 9114 7303,reservations@merivale.com,https://merivale.com/venues/felix?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_felix&utm_content=website,1790,0,0%,4.4
Gowings,"Suite 1/49 Market St, Sydney NSW 2000",(02) 8262 0000,host_gowings@evt.com,https://www.gowingsbarandgrill.com.au/,1164,0,0%,4.3
Neptune Palace Restaurant,"Corner of Pitt and Gateway, Building Level/1 Alfred St, Sydney NSW 2000",(02) 9241 3338,info@neptunepalace.com.au,http://www.neptunepalace.com.au/,971,0,0%,4.3
Alfredo Authentic Italian Restaurant & Underground Cocktail Bar,"16 Bulletin Pl, Sydney NSW 2000",(02) 9251 2929,alfredo@alfredo.com.au,http://alfredo.com.au/,842,2,10%,4.3
Chin Chin,"69 Commonwealth St, Surry Hills NSW 2010",(02) 9281 3322,eat@chinchinsydney.com.au,https://www.chinchin.sydney/,3912,0,0%,4.1
Solander Dining and Bar,"65 Sussex St, Sydney NSW 2000",(02) 8297 6500,westhotelsales@hilton.com,https://www.solanderdiningandbar.com.au/,205,4,20%,4.3
Born by Tapavino,"9A/23 Barangaroo Ave, Barangaroo NSW 2000",(02) 8072 7387,bookings@borntapavino.com.au,http://www.borntapavino.com.au/,1926,4,20%,4.4
Mecca Bah Sydney,"King Street Wharf, 32 The Promenade, Sydney NSW 2000",(02) 9290 3814,dine@meccabah.sydney,https://meccabah.sydney/,2168,6,30%,4.4
Mode Kitchen & Bar,"Ground Floor, 199 George St, The Rocks NSW 2000",(02) 9250 3160,mode.sydney@fourseasons.com,https://modekitchenandbar.com.au/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-syd-fab-mid-seo-na&utm_content=na-na&utm_term=na,419,0,0%,4.4
Firegrill Sydney,"151 Clarence St, Sydney NSW 2000",(02) 9169 7870,reservations@firegrillsydney.com,http://www.firegrillsydney.com/,601,8,40%,4.2
The Apprentice Restaurant Sydney,"731-695 Harris St, Ultimo NSW 2007",(02) 7920 0909,si.theapprentice@tafensw.edu.au,https://www.opentable.com.au/r/the-apprentice-tafe-nsw-reservations-ultimo?restref=59201&lang=en-AU&ot_source=Restaurant%20website,161,0,0%,4.6
Eat Thai Darlinghurst,"358 Victoria St, Darlinghurst NSW 2010",(02) 9331 8288,,https://eatthaidarlinghurst.com.au/,2419,0,0%,4.8
Butter Sydney,"6 Hunt St, Surry Hills NSW 2010",0402 212 246,info@buttersydney.com.au,http://buttersydney.com.au/,1336,2,10%,4.3
Midden by Mark Olive,"Western Broadwalk Sydney Opera House Sydney, Bennelong Point NSW 2000",0468 012 364,hello@middensydney.com.au,https://www.middensydney.com.au/,823,0,0%,4.5
The Meat & Wine Co Sydney CBD Castlereagh St,"219-223 Castlereagh St, Sydney NSW 2000",(02) 9252 7888,adelaide@themeatandwineco.com,https://themeatandwineco.com/sydney-restaurants/castlereagh-st/,847,0,0%,4.6
Neptune's Grotto,"Lower Ground Floor/44 Bridge St, Sydney NSW 2000",(02) 9167 6667,,https://www.neptunesgrotto.com/,416,0,0%,4.7
BISTECCA,"3 Dalley St, Sydney NSW 2000",(02) 8067 0450,,https://www.liquidandlarder.com.au/venues/bistecca/,2079,2,10%,4.7
MuMu,"330C George St, Sydney NSW 2000",(02) 9114 7393,reservations@merivale.com,https://merivale.com/venues/mumu/?utm_source=googlemybusines_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_mumu&utm_content=website,1272,0,0%,4.1
Mr. Wong,"3 Bridge Ln, Sydney NSW 2000",(02) 9114 7317,,https://merivale.com/venues/mrwong?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_mr.wong&utm_content=website,5648,0,0%,4.4
Moku Sydney,"163 Crown St, Darlinghurst NSW 2010",(02) 8246 6138,ninfo@mokusydney.com,http://www.mokusydney.com/,313,0,0%,4.7
Bon Vin,"Stanley Ln, Darlinghurst NSW 2010",(02) 9360 0534,,http://www.bonvin.com.au/,664,8,40%,4.9
Maydanoz Restaurant Bar,"1/50 Carrington St, Sydney NSW 2000",(02) 9427 9789,booking@maydanoz.com.au,http://www.maydanoz.com.au/,582,0,0%,4.7
Myung jang and Obaltan restaurant,"363A Pitt St, Sydney NSW 2000",(02) 9269 0299,,https://www.instagram.com/myungjangcbd/?locale=en_AE+2,2024,6,30%,4.5
Toko Restaurant,"Entry at, Lower Ground, 275 George St, only NSW 2000",(02) 9357 6100,info@tokorestaurant.com,https://tokorestaurant.com/,1209,0,0%,4.4
The Restaurant Pendolino,"Shop 100/412/414 George St, Sydney NSW 2000",(02) 9231 6117,,https://www.pendolino.com.au/,713,0,0%,4.5
Otogo - Sydney CBD,"GF/303 Pitt St, Sydney NSW 2000",,yashio@onigiri-to-go.com,https://onigiri-to-go.com/,303,8,40%,4.7
Fish at The Rocks,"29 Kent St, Millers Point NSW 2000",(02) 9252 4614,reservations@fishattherocks.com.au,http://www.fishattherocks.com.au/,1320,0,0%,4.6
The Little Snail Restaurant,"Shop 3/50 Murray St, Pyrmont NSW 2009",(02) 9212 7512,restaurant@thelittlesnail.com.au,http://www.thelittlesnail.com.au/,3442,0,0%,4.5
The Malaya,"225 George St, Sydney NSW 2000",(02) 9279 1170,reception@themalaya.com.au,http://www.themalaya.com.au/,1968,0,0%,4.4
Gold Class Daruma,"The Grace Sydney, Level 1/77 York St, Sydney NSW 2000",(02) 9262 1190,booking@goldclassdaruma.com.au,http://www.goldclassdaruma.com.au/,607,0,0%,4.5
YAYOI Westfield Sydney,"100 Market St, Sydney NSW 2000",0450 413 538,,https://www.yayoi.com.au/,1027,0,0%,4.5
Ni Hao Bar & Dining,"Level 1/388 Pitt St, Sydney NSW 2000",0499 815 218,scott@nihaobar.com.au,http://www.nihaobar.com.au/,800,2,10%,4.4
Parlour,"49 Market St, Sydney NSW 2000",(02) 8262 0000,contactus@priorityguestrewards.com.au,https://www.qthotels.com/sydney-cbd/eat-drink/parlour,619,8,40%,4.2
The Walrus Sydney CBD,"Shop 1/276 Pitt St, Sydney NSW 2000",(02) 9267 7664,,,1019,0,0%,4.4
An An Vietnamese Eatery,"161 Clarence St, Sydney NSW 2000",0490 137 999,,,755,0,0%,4.6
TAO Chinese Restaurant Sydney CBD,"176 Clarence St, Sydney NSW 2000",0402 518 698,tao@taogroup.com.au,https://www.taogroup.com.au/en/tao,598,0,0%,4.2
Kabul Social,"Shop J15/60 Margaret St, Sydney NSW 2000",,help@plateitforward.org.au,https://plateitforward.org.au/kabul-social/,244,4,20%,4.7
Grandfather's,"Angel Pl, Sydney NSW 2000",(02) 9127 7067,,http://www.grandfathers.com/,190,0,0%,4.5
Fabbrica Pasta Shop CBD,"161 King St, Sydney NSW 2000",(02) 9064 8495,,http://www.ciaofabbrica.com/,856,2,10%,4.2
Employees Only Restaurant & Bar,"9a Barrack St, Sydney NSW 2000",(02) 8084 7490,info@employeesonlysyd.com,https://www.employeesonlysyd.com/?utm_source=gmb,2157,0,0%,4.5
Binge Kitchen - Cafe in Sydney,"4/31 Market St, Sydney NSW 2000",(02) 9283 2423,bingekitchensydney@gmail.com,https://bingekitchen.com.au/,258,2,10%,4.4
Samosorn Thai Sydney,"Central Plaza Food Court 5050 Pitt St, Myer, 436 George St, Sydney NSW 2000",(02) 9145 6961,,https://www.instagram.com/samosornthai_sydney/,211,0,0%,4.4
Diggy Doo's Coffee,"3/2 Bridge St, Sydney NSW 2000",0433 465 609,hi@diggydooscoffee.com,https://diggydooscoffee.square.site/,539,0,0%,4.8
Industry Beans York St,"Shop 2/40 York St, Sydney NSW 2000",(02) 9188 8501,venues@industrybeans.com,https://industrybeans.com/pages/york-st-cafe,2132,0,0%,4.6
Le MONDE Bakery-Cafe,"100 Bathurst St, Sydney NSW 2000",0431 192 504,,http://www.lemondebakery.com.au/,656,0,0%,4.7
La Famiglia Cafe,"284 Pitt St, Sydney NSW 2000",(02) 8065 9449,enquiries@lafamigliacafe.com.au,https://www.lafamigliacafe.com.au/,670,0,0%,4.8
Dutch Smuggler Coffee Brewers,"200 George St, Sydney NSW 2000",,,http://www.dutchsmuggler.com.au/,555,6,30%,4.5
The Naked Duck Martin Place,"Lobby, 60 Martin Pl, Sydney NSW 2000",(02) 8591 2781,norwest@thenakedduck.com.au,https://thenakedduck.com.au/,327,0,0%,4.8
Skittle Lane,"40 King St, Sydney NSW 2000",,info@skittlelane.com,http://skittlelane.com/,826,0,0%,4.6
Cross Eatery,"155 Clarence St, Sydney NSW 2000",0411 793 254,,https://www.crosseatery.com.au/,424,0,0%,4.5
Regiment specialty coffee,"333 George St, Sydney NSW 2000",(02) 9299 4001,regiment2022@hotmail.com,https://www.regimentcbd.com.au/,442,0,0%,4.4
Kosmos Espresso Cafe,"7/250 Pitt St, Sydney NSW 2000",(02) 8288 9194,kosmosespresso@gmail.com,https://www.facebook.com/pages/Kosmos-espresso-cafe/738896149460043?sk=reviews,157,0,0%,4.8
Gumption by Coffee Alchemy,"Shop 11, The Strand Arcade, 412-414 George St, Sydney NSW 2000",(02) 9516 1997,support@coffeealchemy.com.au,https://coffeealchemy.com.au/pages/gumption,1315,6,30%,4.3
Sevens Specialty Coffee,"77 King St, Sydney NSW 2000",,hello@sevens.coffee,http://www.sevens.coffee/,128,0,0%,4.5
Marlowe's Way,"Tankstream Way, Sydney NSW 2000",0432 487 598,,,393,4,20%,4.6
6oz Coffee,"rear shop 4/770 George St, Haymarket NSW 2000",,,,223,0,0%,4.9
Envoy Cafe,"Shop 17/259 George St, Sydney NSW 2000",0413 593 361,nenvoycafesydney@gmail.com,https://www.envoycafe.com.au/,262,0,0%,4.5
Social Brew Cafe,"224 Harris St, Pyrmont NSW 2009",(02) 9571 8792,contact@socialbrewcafe.com.au,http://www.socialbrewcafe.com.au/,2055,0,0%,4.6
Silk Cafe & Restaurant,"World Square, Shop 18/123 Liverpool St, Sydney NSW 2000",0426 766 077,hi@mystore.com,https://www.silkcaferestaurant.com.au/,1900,0,0%,4.5
Leible Coffee,"Ground Floor Cafe, 89 York St, Sydney NSW 2000",(02) 0255 3425,admin@leiblecoffee.com.au,https://leiblecoffee.com.au/,425,0,0%,4.5
Brew Cafe,"121-127 Harrington St, The Rocks NSW 2000",(02) 9251 1577,info@brewcafe.com.au,https://www.brewcafe.com.au/,384,0,0%,4.6
Fossix Pitt St,"56 Pitt St, Sydney NSW 2000",(02) 8021 4466,,https://fossix.com.au/our-cafes#fossix-pitt-st,248,8,40%,4.6
Basket Brothers,"75 Wentworth Ave, Sydney NSW 2000",(02) 9281 5198,basketbrotherscafe@gmail.com,http://basketbrothers.com.au/,1144,0,0%,4.2
Avenue on George,"200 George St, Sydney NSW 2000",(02) 8964 5727,info@avenueongeorge.com.au,https://avenuegroup.com.au/avenue-on-george/,154,8,40%,4.5
Eternity Cafe Town Hall Square,"Shop 15 - 16 Town Hall Square, 464 - 480 Kent St, Sydney NSW 2000",(02) 8068 0058,,,439,4,20%,4.1
Bomonti Cafe & Restaurant,"44 Market St, Sydney NSW 2000",0419 832 949,,https://social.quandoo.com/en/groups/bomonti-cafe-restaurant,530,4,20%,4.5
Toby's Estate Coffee 388,"388 George St, Sydney NSW 2000",,info@amahospitality.com.au,http://amahospitality.com.au/,144,0,0%,4.2
Dymocks Cafe,"Mezzanine Level, 428 George St, Sydney NSW 2000",(02) 9233 7260,abc@gmail.com,http://dymockscafe.com.au/,502,2,10%,4.2
Metropole Cafe,"Kiosk 56, Ground Floor/455 George St, Sydney NSW 2000",(02) 9267 1122,metropoleqvb1@gmail.com,http://www.facebook.com/metropoleQVB,1079,0,0%,4.3
Normcore Coffee,"209 Castlereagh St, Sydney NSW 2000",,,http://www.normcorecoffee.com.au/,679,0,0%,4.3
Brewtopia plus cafe,"Level/1/630 George St, Sydney NSW 2000",0493 713 680,,,196,0,0%,4.2
Picco_leo,"1B Ash St, Sydney NSW 2000",,,https://piccoleo.com.au/,148,0,0%,4.5
Bowery Lane,"4/1 O'Connell St, Sydney NSW 2000",(02) 9252 8017,reservations@bowerylane.com.au,http://www.bowerylane.com.au/,569,2,10%,4.2
Paramount Coffee Project,"80 Commonwealth St, Surry Hills NSW 2010",0481 148 439,accounts@paramountcoffeeproject.com.au,http://www.paramountcoffeeproject.com.au/,2342,0,0%,4.2
Two Good Eggs Cafe,"Shop 2/148 Goulburn St, Surry Hills NSW 2010",(02) 9283 9694,contact@twogoodeggscafe.com.au,https://twogoodeggscafe.com.au/,1353,2,10%,4.3
Cafe Portico,"Entrance at 42-44 Margaret Street, 2 York St, Sydney NSW 2000",,,https://www.cafeportico.com/,717,0,0%,4.3
Nook Clarence St,"4/83 Clarence St, Sydney NSW 2000",(02) 9299 5050,clarencenookfreshbar@gmail.com,https://www.nookclarencest.com.au/,494,6,30%,4.1
Old School Kafey,"459 Pitt St, Haymarket NSW 2000",0416 787 895,info@test.com,https://revu.website/148760,784,6,30%,4.2
Two Black Sheep,"Shop Lg6/580 George St, Sydney NSW 2000",(02) 9269 0947,,http://www.twoblacksheep.com.au/,103,0,0%,4.2
Hester's Cafe Sydney,"60 Carrington St, Sydney NSW 2000",(02) 9299 9997,hello@hesters.com.au,http://www.hesters.com.au/,149,0,0%,4.3
Cafe Alma Sydney,"1 Harbour St, Sydney NSW 2000",0439 378 999,cafealma@taogroup.com.au,https://www.taogroup.com.au/en/cafealma,389,0,0%,4.2
The Strand Arcade,"412-414 George St, Sydney NSW 2000",(02) 9265 6800,thestrandarcade.info@vicinity.com.au,https://www.strandarcade.com.au/,3193,0,0%,4.5
Black Star Pastry Sydney CBD,"Shop 26, Ground Floor/500 George St, Sydney NSW 2000",(02) 9557 8656,,http://blackstarpastry.com/,1520,4,20%,4.2
Edition Roasters,"60 Darling Dr, Haymarket NSW 2000",,hello@editionroasters.com,http://www.editionroasters.com/,1444,0,0%,4.3
Edition Roasters World Square,"World Square Shopping Centre, Shop 10.10/644 George St, Sydney NSW 2000",,hello@editionroasters.com,http://editionroasters.com/,195,0,0%,4.4
Leible Coffee Pitt St,"130 Pitt St, Sydney NSW 2000",,admin@leiblecoffee.com.au,https://leiblecoffee.com.au/,106,0,0%,4.7
Mission Cafe,"64 York St, Sydney NSW 2000",0439 436 663,,http://www.missioncatering.com.au/,472,0,0%,4.7
York Lane,"York Ln, Sydney NSW 2000",0421 830 106,,https://yorklane.au/,347,2,10%,4.6
Miss Carter Cafe,"267-277 Castlereagh St, Sydney NSW 2000",(02) 9262 7522,,https://bookings.wowapps.com/make-booking/misscarter?src=web,347,2,10%,4.8
Lime Espresso,"Lime Espresso, 26 Market St, Sydney NSW 2000",(02) 9299 7929,,http://limeespresso.com.au/,402,0,0%,4.8
Cafe Cre Asion,"3/310 Harris St, Pyrmont NSW 2009",,info@creasion.com.au,http://www.creasion.com.au/,603,0,0%,4.5
two sis & co,"306 Harris St, Pyrmont NSW 2009",0451 594 665,twosisandco@yahoo.com,https://www.facebook.com/twosispyrmont/,1154,0,0%,4.2
Black & White Espresso Bar | The Strand Arcade,"G18/412-414 George St, Sydney NSW 2000",,admin@blackandwhiteespresso.com,https://www.blackandwhiteespresso.com/,254,6,30%,4.2
Georgie Boy's Coffee Co - Grosvenor Place,"235 George St, The Rocks NSW 2000",,,https://georgieboys.com.au/,229,0,0%,4.3
Blaq Piq,"11 Alberta St, Sydney NSW 2000",(02) 9283 8852,blaqpiq@gmail.com,https://m.facebook.com/blaqpiq/,285,0,0%,4.5
Coffee Shop,"320B George St, Sydney NSW 2000",,reservations@merivale.com,https://merivale.com/venues/coffee-shop/,144,0,0%,4.2
Babette Cafe,"Queen Victoria Building, Shop G029/455 George St, Sydney NSW 2000",,contact@babette.com.au,http://www.babette.com.au/,377,0,0%,4.0
Two Penny Blue,"Shop 18/1 Martin Pl, Sydney NSW 2000",0468 914 068,joeblackx@twopennycoffee.com.au,https://twopennycoffee.com.au/,108,4,20%,4.2
Roy's Cafe,"509 Pitt St, Haymarket NSW 2000",(02) 9288 7888,askup@wakeup.com.au,https://royscafe.com.au/,280,0,0%,3.8
Sydney City Kebabs,"790 George St, Haymarket NSW 2000",,,,2160,0,0%,4.7
Betty's Burgers,"International Convention Centre Sydney (ICC Sydney E04, 14 Darling Dr, Sydney NSW 2000",(02) 9212 7773,,http://bettysburgers.com.au/,4052,0,0%,4.6
Mary's Circular Quay,"7 Macquarie Pl, Sydney NSW 2000",,,https://www.marys.wtf/,543,0,0%,4.2
Harry's Café de Wheels - Woolloomooloo,"Cowper Wharf Roadway, Woolloomooloo NSW 2011",(02) 9357 3074,,http://harryscafedewheels.com.au/,2843,6,30%,4.3
Big Bite on Pitt,"3/250 Pitt St, Sydney NSW 2000",(02) 9283 4700,,http://www.bigbiteonpitt.com.au/bigbiteonpitt/Contact.html,411,0,0%,4.7
789 Korean BBQ Darling Square,"Shop 4/35 Tumbalong Bvd, Haymarket NSW 2000",,admin@tsholding.com.au,https://789bbq.com/stores/789-darling-square/,3962,6,30%,4.8
Dopa Donburi and Dessert - Darling Quarter,"Shop 11/1 Harbour St, Sydney NSW 2000",(02) 8971 0377,,http://www.dopa.com.au/,353,2,10%,4.5
Chat Thai,"20 Campbell St, Haymarket NSW 2000",(02) 9127 1808,pat@amonrat.com.au,https://www.chatthai.com.au/,3873,0,0%,4.0
Mishy's Sydney,"113 Reservoir St, Surry Hills NSW 2010",(02) 5657 2925,hello@mishyssydney.com.au,http://www.mishyssydney.com.au/,382,0,0%,4.9
Jane Surry Hills,"478 Bourke St, Surry Hills NSW 2010",0403 632 355,hello@janesurryhills.com.au,https://www.janesurryhills.com/,849,0,0%,4.8
Arthur Surry Hills,"544 Bourke St, Surry Hills NSW 2010",0468 991 088,hello@arthurrestaurant.com,http://www.arthurrestaurant.com/,676,0,0%,4.7
The White Horse,"381 Crown St, Surry Hills NSW 2010",0456 910 417,info@thewhitehorse.com.au,https://thewhitehorse.com.au/,323,0,0%,4.7
Giuls,"Shop 1/515 Crown St, Surry Hills NSW 2010",0411 155 301,,https://www.giuls.com.au/,786,0,0%,4.6
Porteño,"50 Holt St, Surry Hills NSW 2010",(02) 8399 1440,enquiries@porteno.com.au,http://www.porteno.com.au/,1697,0,0%,4.5
Innit Cafe and Bar,"54 Foveaux St, Surry Hills NSW 2010",0432 770 262,admin@innitcafeandbar.com,http://innitcafeandbar.com/,528,0,0%,4.9
Palazzo Salato,"201/203 Clarence St, Sydney NSW 2000",(02) 9044 2556,pronto@palazzosalato.com,http://palazzosalato.com/,1138,14,70%,4.7
Aria Restaurant Sydney,"1 Macquarie St, Sydney NSW 2000",(02) 9240 2255,res.ariasydney@solotel.com.au,https://www.ariasydney.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=Aria_Restaurant_Sydney&utm_term=plcid_18420151015366914459,2379,16,80%,4.5
The Charles Brasserie & Bar,"66 King St, Sydney NSW 2000",(02) 9145 8066,hello@thecharles.sydney,http://www.thecharles.sydney/,1144,12,60%,4.6
"Luna Lu - Asian Fusion, The Rocks","Campbells Cove, Ground Level, Bays 4 and 5, 7-27 Circular Quay W, The Rocks NSW 2000",(02) 8220 8401,reservations@lunalu.com.au,http://www.lunalu.com.au/,2426,12,60%,4.6
La Riviera Restaurant & Bar,"170 Phillip St, Sydney NSW 2000",(02) 9418 4431,info@larivieradining.com.au,http://www.larivieradining.com.au/,270,16,80%,4.7
Morena,"Sydney GPO, 1 Martin Pl, Sydney NSW 2000",(02) 6305 6820,info@morenasydney.com.au,https://www.morenarestaurant.com.au/,504,18,90%,4.5
Pandawa Nasi Bungkus Australia,"Wesley Mission Building, 220 Pitt St, Sydney NSW 2000",,name@pandawa.com,http://www.pandawa.com.au/,8399,10,50%,4.9
Chat Thai - Sydney,"Level 6/188 Pitt St, Sydney NSW 2000",(02) 9221 0600,nick@theory.agency,https://chatthai.com/,3498,16,80%,4.4
Kuro Bar & Dining,"368 Kent St, Sydney NSW 2000",(02) 9262 1580,reservations@kurosydney.com,https://www.kurosydney.com/,923,16,80%,4.6
Infinity at Sydney Tower,"Westfield Sydney, Level 4/108 Market St, Sydney NSW 2000",,twg.events@trippaswhitegroup.com.au,https://infinitysydneytower.com.au/,3877,16,80%,4.5
Dopa Donburi - Sydney Place,"Shop CQT.11/180 George St, Sydney NSW 2000",(02) 9251 0235,,http://www.dopa.com.au/,150,16,80%,4.6
NEL Restaurant,"75 Wentworth Ave, Sydney NSW 2000",(02) 9212 2206,info@nelrestaurant.com.au,http://nelrestaurant.com.au/,1264,10,50%,4.3
Scala Lane,"36 Wynyard La, Sydney NSW 2000",0436 648 985,ciao@scalalane.com,https://scalalane.com/,357,8,40%,4.7
Bar Patrón Circular Quay,"2 Phillip St, Sydney NSW 2000",(02) 9259 5624,reservations@barpatron.com.au,http://barpatron.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=sydney,1561,10,50%,4.4
Ho Jiak Haymarket,"92 Hay St, Haymarket NSW 2000",(02) 8040 0252,haymarket@hojiak.com.au,https://www.hojiak.com.au/haymarket/,5709,18,90%,4.5
Next Door CBD Restaurant & Bar,"60-62 Clarence St, Sydney NSW 2000",0400 707 067,contact@nextdoorcbd.com.au,http://www.nextdoorcbd.com.au/,511,18,90%,4.4
"El Camino Cantina The Rocks, Sydney","18 Argyle St, The Rocks NSW 2000",(02) 9259 5668,,https://elcaminocantina.com.au/the-rocks-sydney/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=the-rocks,9459,14,70%,4.5
